,sum_pctg_ssi_mdcd_days,beds,occupancy,ucc_per_bed,profit_margin,safety_net,safety_dollars_adj,tot_con_sus2020_07_31
0,0.2913999557495117,327.0,0.8006367558962758,65056.344,0.014021554,1.0,15.635116,399.0
1,0.28819990158081055,204.0,0.5115363953800698,64074.51,-0.0084572835,1.0,9.646902,178.0
2,0.25035610334709935,326.49314856202534,0.4981171583680823,25752.021,0.11145093,0.0,0.0,181.0
3,0.1872999668121338,45.0,0.2782952815829528,34279.91,-0.048055872,0.0,0.0,53.0
4,0.22327200494165292,29.0,0.12081247012571265,23469.008,-0.15742894,0.0,0.0,21.0
5,0.2548084451896194,314.9835615079696,0.7802395798864271,81564.38,-0.045920752,1.0,13.169388,283.0
6,0.3565544523625892,97.0,0.32724230185436803,28366.236,-0.042512584,1.0,5.6749425,58.0
7,0.2368199633378844,212.0,0.599234413606179,51276.688,0.057316788,0.0,0.0,210.0
8,0.11599999666213989,12.0,0.06689497716894977,176031.33,0.036116235,0.0,0.0,
9,0.295299768447876,178.0,0.43086039710635676,49098.066,-0.001407265,1.0,8.624759,203.0
10,0.45239996910095215,77.0,0.28824052659669097,35710.0,-0.00962477,1.0,5.7158017,104.0
11,0.4423038491475937,45.0,0.24078367360539038,12424.0625,-0.25543696,0.0,0.0,
12,0.390858681221531,326.73150669646583,0.7122559366693548,75504.24,0.07755511,0.0,0.0,469.0
13,0.2712258241032895,266.72328745045064,0.7590103456956051,43630.49,0.0070471736,1.0,11.870141,377.0
14,0.32289981842041016,372.0,0.5632567388422448,52563.57,0.050794426,0.0,0.0,336.0
15,0.1605259841095924,17.290410741714503,0.2219767967826315,171540.08,-0.5925209,0.0,0.0,
16,0.36189985275268555,1063.0,0.8189568861410155,102428.96,0.0516729,0.0,0.0,1083.0
17,0.20389997959136963,37.0,0.3637911884487227,42476.945,-0.06445587,1.0,5.0,28.0
18,0.21044762696514266,145.0,0.6045879188668177,60747.68,0.094442524,0.0,0.0,188.0
19,0.35591878638212954,85.49315142304965,0.3595231715241905,26232.262,-0.070077725,1.0,5.0,28.0
20,0.2701997756958008,125.0,0.22229041095890412,12533.168,-0.03227448,0.0,0.0,0.0
21,0.26392863049180854,852.3178087796254,0.7889743314432771,82877.74,0.06961899,0.0,0.0,976.0
22,0.27629995346069336,222.0,0.7451931383438233,56722.74,-0.0556553,1.0,10.064626,221.0
23,0.17089998722076416,36.0,0.29383561643835615,56197.832,-0.1596292,0.0,0.0,9.0
24,0.17539989948272705,45.0,0.2613089802130898,46515.777,-0.037970442,0.0,0.0,33.0
25,0.2252763588253439,256.0,0.26945964925863575,15921.35,-0.020247301,0.0,0.0,241.0
26,0.22458242681699075,22.0,0.17322540473225403,22100.092,-0.15524042,0.0,0.0,
27,0.3291384823928471,99.0,0.27793028777260853,34324.0,0.056215145,0.0,0.0,29.0
28,0.32289981842041016,20.0,0.06753424657534246,20594.05,-0.0927887,0.0,0.0,0.0
29,0.26055624804941013,46.0,0.0948619122511296,27711.506,-0.0430347,1.0,5.0,30.0
30,0.2441999912261963,235.0,0.6314310696589915,38010.96,0.11626209,0.0,0.0,302.0
31,0.1786977743701402,406.73150669646583,0.736208394756429,69094.805,-0.0057402584,0.0,0.0,313.0
32,0.4584999084472656,25.0,0.3762191780821918,67921.8,-0.022500971,1.0,5.0,110.0
33,0.211899995803833,43.0,0.1673144313475629,27731.861,-0.08675514,1.0,5.0,0.0
34,0.3541998863220215,168.0,0.16391063274624917,20735.453,-0.008671631,0.0,0.0,26.0
35,0.20559990406036377,73.0,0.16584725089134922,36657.152,-0.07111144,1.0,5.0,52.0
36,0.2960525889701055,36.520548115037975,0.5546991623047294,44737.55,-0.0754379,1.0,5.0,52.0
37,0.2567374045840928,30.0,0.44195735715352347,23862.725,-0.001771591,0.0,0.0,29.0
38,0.49359989166259766,46.0,0.2911256700416915,26891.63,0.020361831,1.0,5.0,10.0
39,0.31099987030029297,250.0,0.629786301369863,52464.863,-0.03156129,1.0,12.757456,341.0
40,0.2756398711725767,66.0,0.6094425571458911,76491.04,0.03543879,0.0,0.0,80.0
41,0.20069992542266846,112.0,0.6375978473581213,63701.32,0.30748904,0.0,0.0,210.0
42,0.21472246061782418,203.55067946943257,0.5632347125942035,57037.1,-0.091510095,1.0,7.171564,249.0
43,0.18123118286015089,61.0,0.16040496051788428,10302.223,-0.197609,0.0,0.0,23.0
44,0.45169997215270996,149.0,0.9144249333455916,219501.86,-0.019712104,1.0,11.043334,109.0
45,0.34734887185502006,210.02465773804556,0.31728542673382065,34988.152,0.033092514,0.0,0.0,116.0
46,0.2146412855244992,349.0,0.5650711976695081,53383.707,0.007617641,1.0,12.291433,288.0
47,0.4994997978210449,21.0,0.3776908023483366,58506.055,-0.03458624,1.0,5.0,8.0
48,0.34869980812072754,497.0,0.7898900250819988,75761.125,0.017988032,1.0,28.436226,623.0
49,0.22079992294311523,28.0,0.25616438356164384,25719.535,-0.07215854,1.0,5.0,6.0
50,0.4585401467176975,33.0,0.2851585086022134,32040.572,0.10225506,0.0,0.0,30.0
51,0.3391997814178467,46.0,0.36081000595592616,44526.195,0.004366398,1.0,5.0,68.0
52,0.1634092487460709,129.0,0.831689762733564,61142.324,0.06609538,0.0,0.0,200.0
53,0.35962394068953163,83.99178075398481,0.22547120807397816,46767.71,-0.1445376,1.0,5.0,43.0
54,0.3133997917175293,21.0,0.07123287671232877,15278.429,-0.29198492,0.0,0.0,0.0
55,0.25881337305434793,278.7479451884962,0.6953946102591377,52517.688,0.075673304,0.0,0.0,252.0
